id,dice,iou
BraTS20_Training_296_axial_084,0.063829,0.032974
BraTS20_Training_296_axial_085,0.058322,0.030044
BraTS20_Training_296_axial_086,0.052957,0.027206
BraTS20_Training_296_axial_087,0.047388,0.024276
BraTS20_Training_296_axial_088,0.042138,0.021530
BraTS20_Training_296_axial_089,0.037330,0.019027
BraTS20_Training_296_axial_090,0.029925,0.015198
BraTS20_Training_296_axial_091,0.021749,0.011001
BraTS20_Training_296_axial_092,0.015519,0.007828
BraTS20_Training_296_axial_093,0.010941,0.005508
BraTS20_Training_296_axial_094,0.006616,0.003326
BraTS20_Training_296_axial_095,0.003214,0.001617
BraTS20_Training_296_axial_096,0.000534,0.000275
